seed_id,seed_name
ObjectId(55c9f8d485afd1a1e3b09a61),1darklevel
ObjectId(55c9f8d485afd1a1e3b09a62),2w2m
ObjectId(55c9f8d485afd1a1e3b09a63),10acompany
ObjectId(55c9f8d485afd1a1e3b09a64),alabmilano
ObjectId(55c9f8d485afd1a1e3b09a65),abrahamkhangul1
ObjectId(55c9f8d485afd1a1e3b09a67),albertozambelli
ObjectId(55c9f8d485afd1a1e3b09a68),maisonalbino
ObjectId(55c9f8d485afd1a1e3b09a6a),gucci
ObjectId(55c9f8d485afd1a1e3b09a6b),alessia_xoccato
ObjectId(55c9f8d485afd1a1e3b09a6c),barbaratrebitsch
ObjectId(55c9f8d485afd1a1e3b09a6e),amenstyle
ObjectId(55c9f8d485afd1a1e3b09a70),andrea_pompilio
ObjectId(55c9f8d485afd1a1e3b09a71),aincontri
ObjectId(55c9f8d485afd1a1e3b09a72),angelosbratis
ObjectId(55c9f8d485afd1a1e3b09a73),angelosfrentzos
ObjectId(55c9f8d585afd1a1e3b09a75),anthonyvaccarello
ObjectId(55c9f8d585afd1a1e3b09a77),aquilanorimondi
ObjectId(55c9f8d585afd1a1e3b09a78),arnoldoebattois
ObjectId(55c9f8d585afd1a1e3b09a79),arthurarbesser
ObjectId(55c9f8d585afd1a1e3b09a7a),aujourlejour_
ObjectId(55c9f8d585afd1a1e3b09a7c),barbaraalans
ObjectId(55c9f8d585afd1a1e3b09a7d),casasolastudio
ObjectId(55c9f8d585afd1a1e3b09a7f),bark_italy
ObjectId(55c9f8d585afd1a1e3b09a82),bbruzziches
ObjectId(55c9f8d585afd1a1e3b09a88),oboyib
ObjectId(55c9f8d585afd1a1e3b09a8b),stefano_ughetti
ObjectId(55c9f8d585afd1a1e3b09a8c),care_label
ObjectId(55c9f8d585afd1a1e3b09a8e),volpacchiotto
ObjectId(55c9f8d585afd1a1e3b09a90),carolinawyser
ObjectId(55c9f8d585afd1a1e3b09a92),caterina_gatta
ObjectId(55c9f8d585afd1a1e3b09a93),charlinedelucac
ObjectId(55c9f8d585afd1a1e3b09a97),_1_christian_
ObjectId(55c9f8d585afd1a1e3b09a98),claudialigari
ObjectId(55c9f8d585afd1a1e3b09a99),cote_italia
ObjectId(55c9f8d585afd1a1e3b09a9a),martinagrassell
ObjectId(55c9f8d585afd1a1e3b09a9c),come4breakfast
ObjectId(55c9f8d585afd1a1e3b09a9d),conspiracy_shoe
ObjectId(55c9f8d585afd1a1e3b09a9e),corabellotto
ObjectId(55c9f8d585afd1a1e3b09aa0),costumein
ObjectId(55c9f8d585afd1a1e3b09aa1),marco_grisolia_
ObjectId(55c9f8d585afd1a1e3b09aa2),bdesignsrl
ObjectId(55c9f8d585afd1a1e3b09aa3),cristinamiraldi
ObjectId(55c9f8d585afd1a1e3b09aa7),danielecarlotta
ObjectId(55c9f8d585afd1a1e3b09aa9),date_sneakers
ObjectId(55c9f8d585afd1a1e3b09aac),delfdelettrez
ObjectId(55c9f8d585afd1a1e3b09aad),delirious_it
ObjectId(55c9f8d585afd1a1e3b09ab0),domenicocioffi
ObjectId(55c9f8d585afd1a1e3b09ab1),dondupitaly
ObjectId(55c9f8d585afd1a1e3b09ab2),drome_italy
ObjectId(55c9f8d585afd1a1e3b09ab4),duvetica_staff
ObjectId(55c9f8d585afd1a1e3b09ab6),egotiqueitalia
ObjectId(55c9f8d585afd1a1e3b09ab7),elenaghisellini
ObjectId(55c9f8d585afd1a1e3b09ab8),eleventy_milano
ObjectId(55c9f8d585afd1a1e3b09ab9),semicoutureit
ObjectId(55c9f8d585afd1a1e3b09aba),coruherkan
ObjectId(55c9f8d585afd1a1e3b09abe),exkite_italy
ObjectId(55c9f8d585afd1a1e3b09ac2),faustopuglisi
ObjectId(55c9f8d585afd1a1e3b09ac3),fmhandmade
ObjectId(55c9f8d585afd1a1e3b09ac4),filippo_fanini
ObjectId(55c9f8d585afd1a1e3b09ac5),flavialarocca
ObjectId(55c9f8d585afd1a1e3b09ac7),forte_forte
ObjectId(55c9f8d585afd1a1e3b09ac9),lerenies
ObjectId(55c9f8d585afd1a1e3b09aca),fl_official_
ObjectId(55c9f8d585afd1a1e3b09acb),francescapaolin
ObjectId(55c9f8d585afd1a1e3b09acc),francescoalosi
ObjectId(55c9f8d585afd1a1e3b09acd),ballestrazzi
ObjectId(55c9f8d585afd1a1e3b09ace),frascognamiglio
ObjectId(55c9f8d585afd1a1e3b09acf),frankiemorello
ObjectId(55c9f8d585afd1a1e3b09ad2),cortomoltedo
ObjectId(55c9f8d585afd1a1e3b09ad3),gabsfirenze
ObjectId(55c9f8d585afd1a1e3b09ad7),giacomorelli
ObjectId(55c9f8d585afd1a1e3b09ad8),giambattistapr
ObjectId(55c9f8d585afd1a1e3b09adb),gmlorenzi
ObjectId(55c9f8d585afd1a1e3b09add),giannico_official
ObjectId(55c9f8d585afd1a1e3b09ade),gienchi
ObjectId(55c9f8d585afd1a1e3b09adf),bistrusso
ObjectId(55c9f8d585afd1a1e3b09ae0),giorgio_brato
ObjectId(55c9f8d585afd1a1e3b09ae3),giuliana_mb
ObjectId(55c9f8d585afd1a1e3b09ae4),di_morabito
ObjectId(55c9f8d585afd1a1e3b09ae7),greta_boldini
ObjectId(55c9f8d585afd1a1e3b09ae8),sergeigrinko
ObjectId(55c9f8d585afd1a1e3b09ae9),guendany
ObjectId(55c9f8d585afd1a1e3b09aeb),hbfashionbrand
ObjectId(55c9f8d585afd1a1e3b09aed),icasamadre
ObjectId(55c9f8d585afd1a1e3b09aee),ilarianistri
ObjectId(55c9f8d585afd1a1e3b09af1),isa_arfen
ObjectId(55c9f8d585afd1a1e3b09af2),iuter
ObjectId(55c9f8d585afd1a1e3b09af3),jimi_roos
ObjectId(55c9f8d585afd1a1e3b09af5),jpluseyewear
ObjectId(55c9f8d585afd1a1e3b09af6),julianzigerli
ObjectId(55c9f8d585afd1a1e3b09af7),kartellpeople
ObjectId(55c9f8d585afd1a1e3b09af8),kittima_milano
ObjectId(55c9f8d585afd1a1e3b09af9),kuboraum
ObjectId(55c9f8d585afd1a1e3b09afa),kymesunglasses
ObjectId(55c9f8d585afd1a1e3b09afb),studiol72
ObjectId(55c9f8d585afd1a1e3b09afc),liisjapan
ObjectId(55c9f8d585afd1a1e3b09afe),laurafed_com
ObjectId(55c9f8d585afd1a1e3b09aff),ledaotto
ObjectId(55c9f8d585afd1a1e3b09b00),fabiosasso3
ObjectId(55c9f8d585afd1a1e3b09b01),leshommes_
ObjectId(55c9f8d585afd1a1e3b09b02),lpjparis
ObjectId(55c9f8d585afd1a1e3b09b03),lgreyewear
ObjectId(55c9f8d585afd1a1e3b09b04),leocolacicco23
ObjectId(55c9f8d585afd1a1e3b09b05),liciaflorio
ObjectId(55c9f8d585afd1a1e3b09b06),philosophy1984
