_id,seed,tweet,spot,type,confidence
58bfc90d68f62018da4510f7,58bfc90468f62018da4510d2,58bfc7fe68f62018da449e52,cavalieri,Person,0.3907
58bfc90d68f62018da4510f7,58bfc90468f62018da4510d2,58bfc7fe68f62018da449e52,cavalieri,Agent,0.3907
58bfc90d68f62018da4510fa,58bfc90468f62018da4510d2,58bfc7fe68f62018da449e52,Austria,Country,0.2875
58bfc90d68f62018da4510fa,58bfc90468f62018da4510d2,58bfc7fe68f62018da449e52,Austria,PopulatedPlace,0.2875
58bfc90d68f62018da4510fa,58bfc90468f62018da4510d2,58bfc7fe68f62018da449e52,Austria,Place,0.2875
58bfc90d68f62018da4510fa,58bfc90468f62018da4510d2,58bfc7fe68f62018da449e52,Austria,Location,0.2875
58bfc90d68f62018da4510fe,58bfc90468f62018da4510d2,58bfc7fe68f62018da449e5d,Karl Hartleb,Person,0.864
58bfc90d68f62018da4510fe,58bfc90468f62018da4510d2,58bfc7fe68f62018da449e5d,Karl Hartleb,Agent,0.864
58bfc90d68f62018da4510ff,58bfc90468f62018da4510d2,58bfc7fe68f62018da449e5d,wko,ElectionDiagram,0.7152
58bfc90d68f62018da451105,58bfc90468f62018da4510d2,58bfc7fe68f62018da449e85,Philippe,Person,0.1285
58bfc90d68f62018da451105,58bfc90468f62018da4510d2,58bfc7fe68f62018da449e85,Philippe,Agent,0.1285
58bfc90d68f62018da451107,58bfc90468f62018da4510d2,58bfc7fe68f62018da449e85,Vienna Business School,Company,0.8691
58bfc90d68f62018da451107,58bfc90468f62018da4510d2,58bfc7fe68f62018da449e85,Vienna Business School,Organisation,0.8691
58bfc90d68f62018da451107,58bfc90468f62018da4510d2,58bfc7fe68f62018da449e85,Vienna Business School,Agent,0.8691
58bfc90d68f62018da451108,58bfc90468f62018da4510d2,58bfc7fe68f62018da449e85,Besuch,Film,0.0063
58bfc90d68f62018da451108,58bfc90468f62018da4510d2,58bfc7fe68f62018da449e85,Besuch,Wikidata:Q11424,0.0063
58bfc90d68f62018da451108,58bfc90468f62018da4510d2,58bfc7fe68f62018da449e85,Besuch,Work,0.0063
