_id,seed,tweet,spot,type,confidence
58bee8bc68f62013d4352666,58bee8a868f62013d4352611,58bee58168f62013d4348fbf,AURORA,WrittenWork,0.6104
58bee8bc68f62013d4352666,58bee8a868f62013d4352611,58bee58168f62013d4348fbf,AURORA,Work,0.6104
58bee8bc68f62013d435266e,58bee8a968f62013d435265d,58bee58c68f62013d43493d2,ARBESSER,Person,0.7692
58bee8bc68f62013d435266e,58bee8a968f62013d435265d,58bee58c68f62013d43493d2,ARBESSER,Agent,0.7692
58bee8bd68f62013d43526c0,58bee8a868f62013d43525f4,58bee5d268f62013d434b1e5,Dusseldorf,Settlement,0.741
58bee8bd68f62013d43526c0,58bee8a868f62013d43525f4,58bee5d268f62013d434b1e5,Dusseldorf,PopulatedPlace,0.741
58bee8bd68f62013d43526c0,58bee8a868f62013d43525f4,58bee5d268f62013d434b1e5,Dusseldorf,Place,0.741
58bee8bd68f62013d43526c0,58bee8a868f62013d43525f4,58bee5d268f62013d434b1e5,Dusseldorf,Location,0.741
58bee8bd68f62013d43526d4,58bee8a868f62013d4352590,58bee60768f62013d434c9d5,streetstyle,Film,0.8322
58bee8bd68f62013d43526d4,58bee8a868f62013d4352590,58bee60768f62013d434c9d5,streetstyle,Wikidata:Q11424,0.8322
58bee8bd68f62013d43526d4,58bee8a868f62013d4352590,58bee60768f62013d434c9d5,streetstyle,Work,0.8322
58bee8bd68f62013d43526e3,58bee8a868f62013d43524e3,58bee61668f62013d434d0e7,London,Place,0.7585
58bee8bd68f62013d43526e3,58bee8a868f62013d43524e3,58bee61668f62013d434d0e7,London,Location,0.7585
58bee8bd68f62013d43526ec,58bee8a868f62013d4352529,58bee62768f62013d434d868,elle_de,PeriodicalLiterature,0.7236
58bee8bd68f62013d43526ec,58bee8a868f62013d4352529,58bee62768f62013d434d868,elle_de,WrittenWork,0.7236
58bee8bd68f62013d43526ec,58bee8a868f62013d4352529,58bee62768f62013d434d868,elle_de,Work,0.7236
58bee8bd68f62013d435270c,58bee8a868f62013d43525fe,58bee66b68f62013d434f6ce,DAFT PUNK,Band,0.8731
58bee8bd68f62013d435270c,58bee8a868f62013d43525fe,58bee66b68f62013d434f6ce,DAFT PUNK,Group,0.8731
58bee8bd68f62013d435270c,58bee8a868f62013d43525fe,58bee66b68f62013d434f6ce,DAFT PUNK,Organisation,0.8731
58bee8bd68f62013d435270c,58bee8a868f62013d43525fe,58bee66b68f62013d434f6ce,DAFT PUNK,Agent,0.8731
58bee8bd68f62013d435270d,58bee8a868f62013d43525fe,58bee66b68f62013d434f6ce,SNAPCHAT,Software,0.7934
58bee8bd68f62013d435270d,58bee8a868f62013d43525fe,58bee66b68f62013d434f6ce,SNAPCHAT,Work,0.7934
58bee8bd68f62013d435270e,58bee8a868f62013d43525f3,58bee67068f62013d434f96f,Jude Law,Person,0.8903
58bee8bd68f62013d435270e,58bee8a868f62013d43525f3,58bee67068f62013d434f96f,Jude Law,Agent,0.8903
58bee8bd68f62013d435270f,58bee8a868f62013d43525f3,58bee67068f62013d434f96f,Denzel Washington,Person,0.8817
