_id,seed,tweet,spot,categories
58bfca7e68f62018da463cb8,58bfc90468f62018da4510d2,58bfc7fe68f62018da449e4c,AustriaEXPO2017Astana,hashtag
58bfca7e68f62018da463cb9,58bfc90468f62018da4510d2,58bfc7fe68f62018da449e4c,austria_in_KZ,mention
58bfca7e68f62018da463cba,58bfc90468f62018da4510d2,58bfc7fe68f62018da449e4c,expoaustria,mention
58bfca7e68f62018da463cbb,58bfc90468f62018da4510d2,58bfc7fe68f62018da449e4c,EXPO2017Astana,mention
58bfca7e68f62018da463cbc,58bfc90468f62018da4510d2,58bfc7fe68f62018da449e4d,expoaustria,hashtag
58bfca7e68f62018da463cbd,58bfc90468f62018da4510d2,58bfc7fe68f62018da449e4d,Expo2015Milano,mention
58bfca7e68f62018da463cbe,58bfc90468f62018da4510d2,58bfc7fe68f62018da449e4e,MyExpoMemory,hashtag
58bfca7e68f62018da463cbf,58bfc90468f62018da4510d2,58bfc7fe68f62018da449e4e,Expo2015Milano,mention
58bfca7e68f62018da463cc0,58bfc90468f62018da4510d2,58bfc7fe68f62018da449e4e,derVodi,mention
58bfca7e68f62018da463cc1,58bfc90468f62018da4510d2,58bfc7fe68f62018da449e4e,expoaustria,mention
58bfca7e68f62018da463cc2,58bfc90468f62018da4510d2,58bfc7fe68f62018da449e4e,instagram,mention
58bfca7e68f62018da463cc3,58bfc90468f62018da4510d2,58bfc7fe68f62018da449e4f,ExpoMilan2015,hashtag
58bfca7e68f62018da463cc4,58bfc90468f62018da4510d2,58bfc7fe68f62018da449e4f,expoaustria,hashtag
58bfca7e68f62018da463cc5,58bfc90468f62018da4510d2,58bfc7fe68f62018da449e50,efficienzaEnergetica,hashtag
58bfca7e68f62018da463cc6,58bfc90468f62018da4510d2,58bfc7fe68f62018da449e50,expomilano,hashtag
58bfca7e68f62018da463cc7,58bfc90468f62018da4510d2,58bfc7fe68f62018da449e50,expo,hashtag
58bfca7e68f62018da463cc8,58bfc90468f62018da4510d2,58bfc7fe68f62018da449e50,expo2015,hashtag
58bfca7e68f62018da463cc9,58bfc90468f62018da4510d2,58bfc7fe68f62018da449e50,4expo,mention
58bfca7e68f62018da463cca,58bfc90468f62018da4510d2,58bfc7fe68f62018da449e51,Austria,hashtag
58bfca7e68f62018da463ccb,58bfc90468f62018da4510d2,58bfc7fe68f62018da449e51,Expo,hashtag
58bfca7e68f62018da463ccc,58bfc90468f62018da4510d2,58bfc7fe68f62018da449e51,atomuan,mention
58bfca7e68f62018da463ccd,58bfc90468f62018da4510d2,58bfc7fe68f62018da449e51,expoaustria,mention
58bfca7e68f62018da463cce,58bfc90468f62018da4510d2,58bfc7fe68f62018da449e52,Nationalfeiertag,hashtag
58bfca7e68f62018da463ccf,58bfc90468f62018da4510d2,58bfc7fe68f62018da449e52,Austria,hashtag
58bfca7e68f62018da463cd0,58bfc90468f62018da4510d2,58bfc7fe68f62018da449e52,breatheaustria,hashtag
58bfca7e68f62018da463cd1,58bfc90468f62018da4510d2,58bfc7fe68f62018da449e52,Myexpo2015,hashtag
58bfca7e68f62018da463cd2,58bfc90468f62018da4510d2,58bfc7fe68f62018da449e52,Expo2015,hashtag
58bfca7e68f62018da463cd3,58bfc90468f62018da4510d2,58bfc7fe68f62018da449e52,lore_cavalieri,mention
58bfca7e68f62018da463cd4,58bfc90468f62018da4510d2,58bfc7fe68f62018da449e52,expoaustria,mention
58bfca7e68f62018da463cd5,58bfc90468f62018da4510d2,58bfc7fe68f62018da449e52,TuttoExpo2015,mention
58bfca7e68f62018da463cd6,58bfc90468f62018da4510d2,58bfc7fe68f62018da449e53,Expo2015,hashtag
58bfca7e68f62018da463cd7,58bfc90468f62018da4510d2,58bfc7fe68f62018da449e53,foodnug,mention
58bfca7e68f62018da463cd8,58bfc90468f62018da4510d2,58bfc7fe68f62018da449e53,expoaustria,mention
